number,PMID,gene,disease,body fluid,sequencing method,experiment,Drug resistance,disease prognosis,characteration of tumors,prospects for detection,metastasis biomarker,therapy,others
410,37656949,BRAF,Metastatic Colorectal Cancer,plasma,NGS,"Fifty-three patients were characterized for RAS and BRAF status on tumor tissue before the start of treatment. Plasma was collected at baseline, at first clinical evaluation, and at disease progression. ctDNA analysis was performed using Oncomine Colon cfDNA Assay on the Ion S5 XL instrument.",_,"Low baseline variant allele frequency (VAF) was found to be associated with longer median progression-free survival (PFS) compared with those with high VAF (15.9 v 12.2 months, P = .02). A higher PFS {12.29 months (95% CI, 9.03 to 17.9) v 8.15 months (95% CI, 2.76 to not available [NA]), P = .04} and overall survival (34.1 months [95% CI, 21.68 to NA] v 11.1 months [95% CI, 3.71 to NA], P = .003) were observed in patients with large decline in VAF at first evaluation.",_,_,_,_,_
411,37559592,TP53,Metastatic Urothelial Cancer,plasma,"NGS(Next seq500,Illumina, Inc)",The present study retrospectively examined genomic alterations in 25 plasma circulating tumor DNA (ctDNA) samples using targeted sequencing of 77 genes from 16 patients with mUC during pembrolizumab treatment.,_,variant allele frequency decreases in TP53 during pembrolizumab treatment were mainly associated with therapeutic response;,_,_,_,better responders to pembrolizumab,_
412,37511178,TP53,Metastatic Breast Cancer,plasma,ddPCR,_,emerged as putative drivers of acquired resistance.,Baseline PIK3CA and TP53 mutations were prognostic of a shorter progression-free survival in our population.,_,_,_,_,_
413,37511178,PIK3CA,Metastatic Breast Cancer,plasma,ddPCR,_,_,"Baseline PIK3CA and TP53 mutations were prognostic of a shorter progression-free survival in our population;Mutant PIK3CA was prognostic in the subset of patients receiving fulvestrant monotherapy after progression to a CDK4/6 inhibitor (CDK4/6i)-containing regimen, and its suppression was predictive in a case of long-term benefit with alpelisib.",_,_,_,_,_
414,37511178,ESR1,Metastatic Breast Cancer,plasma,ddPCR,_,emerged as putative drivers of acquired resistance.,"Mutant ESR1 was prognostic in patients who did not receive concurrent CDK4/6i, an impact influenced by the variant allele frequency, and its early suppression was strongly predictive of efficacy and associated with long-term benefit in the whole cohort.",_,_,_,_,_
415,37511178,KRAS,Metastatic Breast Cancer,plasma,ddPCR,_,emerged as putative drivers of acquired resistance.,_,_,_,_,_,_
416,37510091,EGFR,Non-Small Cell Lung Cancer,plasma,Cobas 4800 EGFR mutation test v2,_,_,mean overall survival was significantly lower when a liquid biopsy was positive for the detection of EGFR mutations compared with wild-type patients in their liquid biopsy in both univariate (29 ㊣ 4 vs. 104 ㊣ 19 months; p = 0.004) and multivariate analysis (p = 0.008).,_,_,_,_,_
417,37509239,RAS,Metastatic Colorectal Cancer,plasma,ddPCR,_,_,_,_,_,_,_,_
418,37490393,TP53,Metastatic Breast Cancer,plasma,NGS( NovaSeq 6000 platform ),"Correlative blood samples were collected at baseline [cycle 1-day 1 (C1D1)] and prior to treatment [cycle 1-day 15 (C1D15)]. Plasma ctDNA was sequenced with a custom error-corrected capture panel, with both univariate and multivariate Cox models used for treatment efficacy associations. A prespecified methodology measuring ctDNA changes in clonal mutations between C1D1 and C1D15 was used for the on-treatment ctDNA dynamic model.",_,"Detectable TP53 mutation showed worse PFS and OS in both treatment arms, even after restricting population to baseline ctDNA detection.",_,_,_,_,_
419,37490393,ESR1,Metastatic Breast Cancer,plasma,NGS( NovaSeq 6000 platform ),"Correlative blood samples were collected at baseline [cycle 1-day 1 (C1D1)] and prior to treatment [cycle 1-day 15 (C1D15)]. Plasma ctDNA was sequenced with a custom error-corrected capture panel, with both univariate and multivariate Cox models used for treatment efficacy associations. A prespecified methodology measuring ctDNA changes in clonal mutations between C1D1 and C1D15 was used for the on-treatment ctDNA dynamic model.",_,"ESR1 mutations were associated with worse OS overall, which was lost when restricting population to baseline ctDNA detection.",_,_,_,_,_
420,37490393,PIK3CA,Metastatic Breast Cancer,plasma,NGS( NovaSeq 6000 platform ),"Correlative blood samples were collected at baseline [cycle 1-day 1 (C1D1)] and prior to treatment [cycle 1-day 15 (C1D15)]. Plasma ctDNA was sequenced with a custom error-corrected capture panel, with both univariate and multivariate Cox models used for treatment efficacy associations. A prespecified methodology measuring ctDNA changes in clonal mutations between C1D1 and C1D15 was used for the on-treatment ctDNA dynamic model.",_,PIK3CA mutations confer worse OS only to patients on the palbociclib+fulvestrant treatment arm.,_,_,_,_,_
421,37488448,RAS,Metastatic Colorectal Cancer,plasma,MassARRAY platform (Agena),"Only patients with concordant wild-type formalin-fixed, paraffin-embedded (FFPE) tumour tissue and baseline ctDNA RAS wild-type were included. RAS mutations in plasma were evaluated using MassARRAY platform. Blood samples were collected at baseline, every 3 months during first-line treatment, and at disease progression. The primary endpoint was the detection rate of RAS mutations during cetuximab treatment. The correlation between response and survival outcomes and the emergence of circulating RAS mutations was also analysed.",_,"The subgroup of patients with RAS mutations exhibited significantly inferior progression-free survival and overall survival (P = 0.002 and 0.027, respectively).",_,_,_,_,_
422,37441425,RB1,Non-Small Cell Lung Cancer,plasma,NGS( the HiSeq4000 Sequencing System),We enrolled 53 NSCLC patients treated with ICI combination therapy and collected their tissue and plasma samples to perform next-generation sequencing (NGS) with a 425-gene panel.,_,"Patients with mutated RB1 had shorter PFS than those with wild RB1 (134d vs 219d, p=0.018).",_,_,_,_,"Analysis showed the RB1 related mutated cell cycle and chromosomal instability were also deleterious to prognosis (103d vs 411d, p<0.001; 138d vs 505d, p=0.018)."
423,37390764,EGFR,Non-Small Cell Lung Cancer,plasma,NGS(Guardant360),"Eligible patients with EGFR+ mNSCLC were randomized 1 : 1 to ERL (150 mg/day) plus RAM (10 mg/kg)/PBO every 2 weeks. Liquid biopsies were to be prospectively collected at baseline, cycle 4 (C4), and postdiscontinuation follow-up. EGFR and co-occurring/treatment-emergent (TE) genomic alterations in ctDNA were analyzed using Guardant360 NGS platform.",_,Baseline aEGFR alterations in ctDNA were associated with shorter mPFS;aEGFR+ clearance by C4 was associated with improved PFS outcomes.Monitoring co-occurring alterations and aEGFR+ clearance may provide insights into mechanisms of EGFR tyrosine kinase inhibitor resistance and the patients who may benefit from intensified treatment schedules.,_,_,_,_,_
424,37379430,EGFR,Non-Small Cell Lung Cancer,plasma,ddPCR,"This was a retrospective, exploratory analysis of two phase III trials [AURA3 (NCT02151981), FLAURA (NCT02296125)]. All patients had EGFR mutation-positive (EGFRm; ex19del or L858R) advanced NSCLC; AURA3 also included T790M-positive NSCLC. Osimertinib (FLAURA, AURA3), or comparator EGFR-tyrosine kinase inhibitor (EGFR-TKI; gefitinib/erlotinib; FLAURA), or platinum-based doublet chemotherapy (AURA3) was given. Plasma EGFRm was analyzed at baseline and Weeks 3/6 by droplet digital PCR. Outcomes were assessed by detectable/non-detectable baseline plasma EGFRm and plasma EGFRm clearance (non-detection) at Weeks 3/6.",_,Plasma EGFRm analysis as early as 3 weeks on-treatment has the potential to predict outcomes in EGFRm advanced NSCLC.,_,_,_,_,_
425,37341038,KRAS,Pancreatic Ductal Adenocarcinoma,plasma,Mx3005P real坼time PCR instrument,_,_,"Cox proportional hazard regression showed that ctDNA detection at baseline was an independent predictor of progression-free and overall survival. Joint modelling demonstrated that the dynamic ctDNA level was a strong predictor of time to first disease progression. Longitudinal ctDNA measurements during chemotherapy successfully revealed disease progression in 20 (67%) of 30 patients with ctDNA detected at baseline, with a median lead time of 23 days (P = 0.01) over radiological imaging.",_,_,_,_,_
426,37308396,KRAS,Pancreatic Adenocarcinoma,plasma,ddPCR( Bio-Rad QX200 ),Blood samples were collected just before first CT and at day 28. The primary endpoint was the kinetics of KRAS-mutated ctDNA by digital droplet PCR between D0 and D28 as a predictor of progression-free survival (PFS).,_,"presence or not of KRAS-mutated ctDNA at D28 was an optimal predictor of cDCR (OR=30.7, IC95% 4.31-218 P=.001), PFS (HR=6.79, IC95% 2.76-16.7, P<.001) and OS (HR=9.98, IC95% 4.14-24.1, P<.001).",_,_,_,_,_
427,37307947,ARID1A,Hepatocellular Carcinoma,plasma,NGS,"In once clinical study,We identified early stage (BCLC 0-A) HCC cases (n = 21) and patients without HCC (n = 14) from a cohort of Asian patients with HBV, undergoing surveillance between 2013 and 2017. Circulating cell-free DNA was isolated from blood samples, and assayed by next-generation sequencing of 23 genes implicated in HCC pathogenesis. Somatic mutations were identified using a computational pipeline. Using area under the curve (AUC) in receiver operating characteristic (ROC) analysis, we evaluated gene alterations and clinical factors in an exploratory early HCC detection model.",_,_,_,_,_,_,"Mutant ARID1A, CTNNB1, TP53 genes were increased in HCC cases vs. non-HCC patients (85.7% vs 42.9%, P = 0.011; 42.9% vs 0%, P = 0.005; 100% vs 71.4%, P = 0.019, respectively). Using these three genes, AUC for discriminating HCC from non-HCC patients was 0.844 (95% confidence interval [CI]: 0.7317-0.9553). When combining these genes with clinical factors in an exploratory early HCC detection model, AUC increased from 0.7415 (using clinical factors alone) to 0.9354 (P = 0.041)."
428,37307947,CTNNB1,Hepatocellular Carcinoma,plasma,NGS,"In once clinical study,We identified early stage (BCLC 0-A) HCC cases (n = 21) and patients without HCC (n = 14) from a cohort of Asian patients with HBV, undergoing surveillance between 2013 and 2017. Circulating cell-free DNA was isolated from blood samples, and assayed by next-generation sequencing of 23 genes implicated in HCC pathogenesis. Somatic mutations were identified using a computational pipeline. Using area under the curve (AUC) in receiver operating characteristic (ROC) analysis, we evaluated gene alterations and clinical factors in an exploratory early HCC detection model.",_,_,_,_,_,_,"Mutant ARID1A, CTNNB1, TP53 genes were increased in HCC cases vs. non-HCC patients (85.7% vs 42.9%, P = 0.011; 42.9% vs 0%, P = 0.005; 100% vs 71.4%, P = 0.019, respectively). Using these three genes, AUC for discriminating HCC from non-HCC patients was 0.844 (95% confidence interval [CI]: 0.7317-0.9553). When combining these genes with clinical factors in an exploratory early HCC detection model, AUC increased from 0.7415 (using clinical factors alone) to 0.9354 (P = 0.041)."
429,37307947,TP53,Hepatocellular Carcinoma,plasma,NGS,"In once clinical study,We identified early stage (BCLC 0-A) HCC cases (n = 21) and patients without HCC (n = 14) from a cohort of Asian patients with HBV, undergoing surveillance between 2013 and 2017. Circulating cell-free DNA was isolated from blood samples, and assayed by next-generation sequencing of 23 genes implicated in HCC pathogenesis. Somatic mutations were identified using a computational pipeline. Using area under the curve (AUC) in receiver operating characteristic (ROC) analysis, we evaluated gene alterations and clinical factors in an exploratory early HCC detection model.",_,_,_,_,_,_,"Mutant ARID1A, CTNNB1, TP53 genes were increased in HCC cases vs. non-HCC patients (85.7% vs 42.9%, P = 0.011; 42.9% vs 0%, P = 0.005; 100% vs 71.4%, P = 0.019, respectively). Using these three genes, AUC for discriminating HCC from non-HCC patients was 0.844 (95% confidence interval [CI]: 0.7317-0.9553). When combining these genes with clinical factors in an exploratory early HCC detection model, AUC increased from 0.7415 (using clinical factors alone) to 0.9354 (P = 0.041)."
430,37306927,CBLB,Gastric Cancer,plasma,NovaSeq 6000 Illumina,"Using next-generation sequencing (NGS) Multigene Panels, the mutational signatures associated with the prognosis of GC patients were identified. We calculated the survival probability with Kaplan-Meier and used the Log-rank test to compare survival curves between ctDNA-positive and ctDNA-negative groups. Potential application of radiology combined with tumor plasma biomarker analysis of ctDNA in GC patients was carried out.",_,CBLB mutations had shorter OS and PFS than wild-type patients (OS: P = 0.0036; PFS: P = 0.0027).,_,_,_,_,_
431,37296463,TP53,Non-Small Cell Lung Cancer,plasma,NovaSeq 6000 Illumina,"Patients from our two previous phase II trials were pooled analyzed. Their circulating tumor DNA (ctDNA) were detected by next-generation sequencing (NGS) panels, and the correlation with the efficacy of pyrotinib was investigated.",_,"Patients with TP53 wild type were significantly associated with higher disease control rate (97.1%vs. 68.8%, p = 0.010), PFS (median 8.4 vs. 2.8 months, p = 0.001) and overall survival (OS, median 26.7 vs. 10.4 months, p < 0.001) than those with mutations.",_,_,_,_,_
432,37294123,TERT,Metastatic Melanoma,plasma,NGS( the Illumina NovaSeq),_,_,related to worse prognosis,_,_,_,_,_
433,38023206,TP53,Non-Small Cell Lung Cancer,plasma,NGS,Patients with advanced NSCLC who were treated with anti-PD1 were enrolled. Whole blood was collected at baseline and post image progression. Serum was separated and sequenced using 425-panel next-generation sequencing analysis (NGS).,_,_,_,_,_,_,positively related to immunotherapy efficacy
434,38023206,SMARCA4,Non-Small Cell Lung Cancer,plasma,NGS,Patients with advanced NSCLC who were treated with anti-PD1 were enrolled. Whole blood was collected at baseline and post image progression. Serum was separated and sequenced using 425-panel next-generation sequencing analysis (NGS).,_,_,_,_,_,_,positively related to immunotherapy efficacy
435,38023206,KRAS,Non-Small Cell Lung Cancer,plasma,NGS,Patients with advanced NSCLC who were treated with anti-PD1 were enrolled. Whole blood was collected at baseline and post image progression. Serum was separated and sequenced using 425-panel next-generation sequencing analysis (NGS).,_,_,_,_,_,_,positively related to immunotherapy efficacy
436,38023206,JAK2,Non-Small Cell Lung Cancer,plasma,NGS,Patients with advanced NSCLC who were treated with anti-PD1 were enrolled. Whole blood was collected at baseline and post image progression. Serum was separated and sequenced using 425-panel next-generation sequencing analysis (NGS).,_,_,_,_,_,_,negatively related to immunotherapy efficacy
437,38023206,EGFR,Non-Small Cell Lung Cancer,plasma,NGS,Patients with advanced NSCLC who were treated with anti-PD1 were enrolled. Whole blood was collected at baseline and post image progression. Serum was separated and sequenced using 425-panel next-generation sequencing analysis (NGS).,_,_,_,_,_,_,negatively related to immunotherapy efficacy
438,38023206,DNMT3A,Non-Small Cell Lung Cancer,plasma,NGS,Patients with advanced NSCLC who were treated with anti-PD1 were enrolled. Whole blood was collected at baseline and post image progression. Serum was separated and sequenced using 425-panel next-generation sequencing analysis (NGS).,_,negatively related to immunotherapy efficacy,_,_,_,_,_
439,37344660,TP53,Metastatic Breast Cancer,plasma,NGS,"Blood samples prospectively collected from 163 ER-positive/HER2-negative female MBC patients, before ET, were used for cell-free tumor DNA (cfDNA) analysis. cfDNA was subjected to next-generation sequencing (NGS) to interrogate oncogenic PIK3CA hotspot and TP53 DNA-binding domain (DBD) mutations, including single nucleotide variants (SNVs) or small insertions and deletions (InDels). The variant calling threshold was set at 0.5%. Progression-free survival (PFS) was measured from the start of the ET treatment to the time of disease progression of the same treatment regimen.",_,"Patients with PIK3CA mutation (HR 1.74, p = 0.007), and TP53 mutation (HR 1.64, p = 0.047) in liquid biopsy conferred worse outcome after ET. Even for patients with low tumor burden, the detrimental effect of PIK3CA or TP53 mutation remained significant (p < 0.001).",_,_,_,_,_
440,37344660,PIK3CA,Metastatic Breast Cancer,plasma,NGS,"Blood samples prospectively collected from 163 ER-positive/HER2-negative female MBC patients, before ET, were used for cell-free tumor DNA (cfDNA) analysis. cfDNA was subjected to next-generation sequencing (NGS) to interrogate oncogenic PIK3CA hotspot and TP53 DNA-binding domain (DBD) mutations, including single nucleotide variants (SNVs) or small insertions and deletions (InDels). The variant calling threshold was set at 0.5%. Progression-free survival (PFS) was measured from the start of the ET treatment to the time of disease progression of the same treatment regimen.",_,"Patients with PIK3CA mutation (HR 1.74, p = 0.007), and TP53 mutation (HR 1.64, p = 0.047) in liquid biopsy conferred worse outcome after ET. Even for patients with low tumor burden, the detrimental effect of PIK3CA or TP53 mutation remained significant (p < 0.001).",_,_,_,_,_
441,37344331,EGFR,Non-Small Cell Lung Cancer,plasma,NGS Illumina NextSeq 500,Treatment-na ve patients with stage IV NSCLC harboring an activating EGFR mutation were enrolled. Alternating cycles of osimertinib (80 mg/day) followed by afatinib (20 mg/day) were administered every 8 weeks. Genomic analysis was performed using circulating tumor DNA obtained before and after the treatment.,_,_,_,_,_,"Alternating cycles of osimertinib followed by afatinib were administered,this treatment may prevent the emergence of EGFR secondary mutations that trigger drug resistance.",_
442,38697850,TP53,Metastatic Colorectal Cancer,plasma,_,"We performed targeted sequencing analysis of 88 cancer-associated genes using germline DNA, ctDNA at baseline (baseline-ctDNA), and ctDNA at progressive disease (PD-ctDNA). The results were compared with ttDNA data.",_,"In baseline-ctDNA,higher VAF values of APC (p=0.012), TP53 (p=0.012), and KRAS (p=0.005) mutations were significantly associated with worse overall survival.",_,_,_,_,_
443,38697850,APC,Metastatic Colorectal Cancer,plasma,_,"We performed targeted sequencing analysis of 88 cancer-associated genes using germline DNA, ctDNA at baseline (baseline-ctDNA), and ctDNA at progressive disease (PD-ctDNA). The results were compared with ttDNA data.",_,"In baseline-ctDNA,higher VAF values of APC (p=0.012), TP53 (p=0.012), and KRAS (p=0.005) mutations were significantly associated with worse overall survival.",_,_,_,_,_
444,38697850,KRAS,Metastatic Colorectal Cancer,plasma,_,"We performed targeted sequencing analysis of 88 cancer-associated genes using germline DNA, ctDNA at baseline (baseline-ctDNA), and ctDNA at progressive disease (PD-ctDNA). The results were compared with ttDNA data.",_,"In baseline-ctDNA,higher VAF values of APC (p=0.012), TP53 (p=0.012), and KRAS (p=0.005) mutations were significantly associated with worse overall survival.",_,_,_,_,_
445,38596716,MSH2,Gliomas,plasma,CAPP-seq (AVENIO),"We investigated 10 glioma patients with tumor tissue available from at least 2 surgical operations, who had 49 longitudinally collected plasma samples available for analysis. Plasma samples were sequenced with CAPP-seq (AVENIO) and tissue samples with TSO500.",plasma ctDNA detection of new MMR gene mutations not present in the initial tissue biopsy may provide an early indication of the development of chemotherapy (temozolomide) resistance.,_,_,_,_,_,_
446,38596716,MSH6,Gliomas,plasma,CAPP-seq (AVENIO),"We investigated 10 glioma patients with tumor tissue available from at least 2 surgical operations, who had 49 longitudinally collected plasma samples available for analysis. Plasma samples were sequenced with CAPP-seq (AVENIO) and tissue samples with TSO500.",plasma ctDNA detection of new MMR gene mutations not present in the initial tissue biopsy may provide an early indication of the development of chemotherapy (temozolomide) resistance.,_,_,_,_,_,_
447,38596716,MLH1,Gliomas,plasma,CAPP-seq (AVENIO),"We investigated 10 glioma patients with tumor tissue available from at least 2 surgical operations, who had 49 longitudinally collected plasma samples available for analysis. Plasma samples were sequenced with CAPP-seq (AVENIO) and tissue samples with TSO500.",plasma ctDNA detection of new MMR gene mutations not present in the initial tissue biopsy may provide an early indication of the development of chemotherapy (temozolomide) resistance.,_,_,_,_,_,_
448,38596716,PMS2,Gliomas,plasma,CAPP-seq (AVENIO),"We investigated 10 glioma patients with tumor tissue available from at least 2 surgical operations, who had 49 longitudinally collected plasma samples available for analysis. Plasma samples were sequenced with CAPP-seq (AVENIO) and tissue samples with TSO500.",plasma ctDNA detection of new MMR gene mutations not present in the initial tissue biopsy may provide an early indication of the development of chemotherapy (temozolomide) resistance.,_,_,_,_,_,_
449,38548846,EGFR,Melanoma,plasma,ddPCR,"Seventeen stage IV cutaneous melanoma patients carrying a BRAF mutation at amino acid position 600 (with the exception of patient #48 who carries the BRAF p.T599dup mutation43, Table  Table1),1), as identified in tissue biopsy, were prospectively enrolled and addressed to targeted therapy with BRAFi/MEKi. Patients were followed for up to 28 months (January 2019 to March 2022) to monitor disease evolution and to understand the timing/mechanisms of resistance. Considering that resistance develops at a median time of 11-12 months4,75, blood samples were collected just before starting therapy (T0), after 6 (T1), and after 10 (T2) months (to test the ability of the time setting to detect early signs of tumor escape), and at the time of progression (P). Approximately two to four serially collected blood samples were available per patient for a total of 50 samples (Table  (Table1).1). Tumor response was determined by physical examination and imaging investigation using Response Evaluation Criteria in Solid Tumors (RECIST) v1.176, and assessed between the first day of therapy until progression, death, or last follow-up: stable disease (SD), partial response (PR), complete response (CR), or progressive disease (PD). Responders (R) were defined as complete response or partial response. Non-responders (NR) were defined as stable disease or progressive disease. Decisions regarding treatment response or disease recurrence were made by the treating clinician who was blinded to the ctDNA results. All subjects involved in the study provided written informed consent.",_,"Detectable BRAF-mutant related to worse overall survival, not responding, and early progression.",_,_,_,_,_
450,38539518,TP53,Triple Negative Breast Cancer,plasma,the AVENIO ctDNA Targeted Kit (17 genes; Roche Diagnostics),"We conducted a retrospective study enrolling 95 female patients who had been newly diagnosed with breast cancer and had undergone primary surgery or neoadjuvant chemotherapy (NAC) between January 2017 and October 2020 at Kyushu University Hospital, Fukuoka, Japan. The patients received neoadjuvant treatment according to the National Comprehensive Cancer Network＊s (NCCN) Guidelines for the Treatment of Breast Cancer. We reviewed the patients＊ electronic medical records and pathological information according to the 8th edition of the Union for International Cancer Control staging system. Peripheral blood samples were obtained before the primary surgery. In NAC cases, blood samples were obtained before NAC and surgery.",_,Mutation related to poor recurrence-free survival. ctDNA with liquid biopsy could identify the poor prognosis group before treatment among TNBC patients,_,_,_,_,_
451,38539518,BRCA1,Triple Negative Breast Cancer,plasma,the AVENIO ctDNA Targeted Kit (17 genes; Roche Diagnostics),"We conducted a retrospective study enrolling 95 female patients who had been newly diagnosed with breast cancer and had undergone primary surgery or neoadjuvant chemotherapy (NAC) between January 2017 and October 2020 at Kyushu University Hospital, Fukuoka, Japan. The patients received neoadjuvant treatment according to the National Comprehensive Cancer Network＊s (NCCN) Guidelines for the Treatment of Breast Cancer. We reviewed the patients＊ electronic medical records and pathological information according to the 8th edition of the Union for International Cancer Control staging system. Peripheral blood samples were obtained before the primary surgery. In NAC cases, blood samples were obtained before NAC and surgery.",_,Mutation related to poor recurrence-free survival. ctDNA with liquid biopsy could identify the poor prognosis group before treatment among TNBC patients,_,_,_,_,_
452,38503018,TP53,Metastatic Colorectal Cancer,plasma,_,"We included mCRC patients from January 2018 to October 2020 as a studied cohort which were treated with cetuximab plus mFOLFOX as first line therapy. Blood samples were collected for circulating tumor DNA (ctDNA) test at three timepoints: before the first-line therapy(baseline), at the time of first-line progression and at the time of second-line progression. Progression-free survival was considered as the primary endpoint while objective response rate and overall survival were determined as the secondary endpoints.","TP53 and AMER1 mutations, tumor mutational burden (TMB) levels, and TP53/AMER1 co-mutation may predict the efficacy of the first-line cetuximab-contained treatment (worse in mutation group).",_,_,_,_,_,_
453,38503018,AMER1,Metastatic Colorectal Cancer,plasma,_,"We included mCRC patients from January 2018 to October 2020 as a studied cohort which were treated with cetuximab plus mFOLFOX as first line therapy. Blood samples were collected for circulating tumor DNA (ctDNA) test at three timepoints: before the first-line therapy(baseline), at the time of first-line progression and at the time of second-line progression. Progression-free survival was considered as the primary endpoint while objective response rate and overall survival were determined as the secondary endpoints.","TP53 and AMER1 mutations, tumor mutational burden (TMB) levels, and TP53/AMER1 co-mutation may predict the efficacy of the first-line cetuximab-contained treatment (worse in mutation group).",_,_,_,_,_,_
454,38496698,TP53,Small Cell Lung Cancer,plasma,NGS(Illumina NextSeq 550),"Targeted sequencing was conducted using pre-treatment and on-treatment blood samples from definitive CCRT-treated patients with LD-SCLC (n=50). Based on 12-month recurrence-free survival (RFS), patients were categorized into persistent-response (PeR, n=29) and non-PeR (n=21) groups. Fragmentome analysis was conducted using ctDNA fragments of different lengths: P1 (100-155 bp) and P2 (160-180 bp).",_,Patients with TP53 mutation in on-treatment samples demonstrated significantly shorter RFS than patients with wild-type(P=0.05).,_,_,_,_,_
455,38496698,RB1,Small Cell Lung Cancer,plasma,NGS(Illumina NextSeq 550),"Targeted sequencing was conducted using pre-treatment and on-treatment blood samples from definitive CCRT-treated patients with LD-SCLC (n=50). Based on 12-month recurrence-free survival (RFS), patients were categorized into persistent-response (PeR, n=29) and non-PeR (n=21) groups. Fragmentome analysis was conducted using ctDNA fragments of different lengths: P1 (100-155 bp) and P2 (160-180 bp).",_,Patients with TP53 mutation in on-treatment samples demonstrated significantly shorter RFS (P=0.0014) and OS (P=0.0018) than patients with wild-type.,_,_,_,_,_
456,38443094,IGLL5,Relapsed Or Refractory Large B-Cell Lymphoma,plasma,Custom capture-based target sequencing panel covering 188 lymphoma-related genes (Onco-LymScan panel),Longitudinal plasma samples were prospectively collected both before lymphodepletion and at multiple timepoints after CAR19 T-cell infusion. ctDNA was detected using a capture-based next-generation sequencing which has been validated in untreated LBCL.,_,Significant correlation between IGLL5 mutation and inferior PFS (p=0.008) and OS (p=0.014).,_,_,_,_,_
457,38427931,ESR1,Breast Cancer,plasma,dPCR,"Forty-six patients were enrolled in this substudy. Plasma was collected before treatment (T0), after the first cycle of therapy (T1), and at the time of progression (T2). ctDNA hybridization and capture were performed using the Illumina TruSight Tumor 170 Kit. Acquired mutations were confirmed by digital polymerase chain reaction. Progression-free survival analysis was estimated using the Kaplan-Meier method and compared with the log-rank test.",_,Mutations in ESR1 at before treatment (T0) conferred higher risk of progression in the entire population (P = .02) and in patients treated with palbociclib + endocrine treatment (ET) (P = .04). ESR1 mutation effect remained significant after correction for clinical variables (P = .03).,_,_,_,_,_
458,38427753,KRAS,Relapsed Or Refractory Multiple Myeloma,plasma,_,"Here we performed targeted-capture sequencing using bone marrow plasma cells (BMPC) and ctDNA of 261 RRMM cases uniformly treated with ixazomib, lenalidomide, and dexamethasone in a multicenter, prospective, observational study.",_,Associated with worse progression-free survival (PFS).,_,_,_,_,_
459,38427753,TP53,Relapsed Or Refractory Multiple Myeloma,plasma,_,"Here we performed targeted-capture sequencing using bone marrow plasma cells (BMPC) and ctDNA of 261 RRMM cases uniformly treated with ixazomib, lenalidomide, and dexamethasone in a multicenter, prospective, observational study.",_,Associated with worse progression-free survival (PFS).,_,_,_,_,_
460,38427753,DIS3,Relapsed Or Refractory Multiple Myeloma,plasma,_,"Here we performed targeted-capture sequencing using bone marrow plasma cells (BMPC) and ctDNA of 261 RRMM cases uniformly treated with ixazomib, lenalidomide, and dexamethasone in a multicenter, prospective, observational study.",_,Associated with worse progression-free survival (PFS).,_,_,_,_,_
461,38427753,BRAF,Relapsed Or Refractory Multiple Myeloma,plasma,_,"Here we performed targeted-capture sequencing using bone marrow plasma cells (BMPC) and ctDNA of 261 RRMM cases uniformly treated with ixazomib, lenalidomide, and dexamethasone in a multicenter, prospective, observational study.",_,Associated with worse progression-free survival (PFS).,_,_,_,_,_
462,38427753,NRAS,Relapsed Or Refractory Multiple Myeloma,plasma,_,"Here we performed targeted-capture sequencing using bone marrow plasma cells (BMPC) and ctDNA of 261 RRMM cases uniformly treated with ixazomib, lenalidomide, and dexamethasone in a multicenter, prospective, observational study.",_,Associated with worse progression-free survival (PFS).,_,_,_,_,_
463,38427753,ATM,Relapsed Or Refractory Multiple Myeloma,plasma,_,"Here we performed targeted-capture sequencing using bone marrow plasma cells (BMPC) and ctDNA of 261 RRMM cases uniformly treated with ixazomib, lenalidomide, and dexamethasone in a multicenter, prospective, observational study.",_,Associated with worse progression-free survival (PFS).,_,_,_,_,_
464,38421881,TP53,Non-Small Cell Lung Cancer,plasma,NGS,"In this study, 180 patients received 225 mg of ensartinib orally once daily until disease progression, death or withdrawal. OS was estimated by Kaplan Meier methods with two-sided 95% confidence intervals (CIs). Next-generation sequencing was employed to explore prognostic biomarkers based on plasma samples collected at baseline and after initiating ensartinib. Circulating tumor DNA (ctDNA) was detected to dynamically monitor the genomic alternations during treatment and indicate the existence of molecular residual disease, facilitating improvement of clinical management.",_,"An inferior OS correlated significantly with baseline tumor protein 53 (TP53) mutation.Specifically, patients with TP53 mutations (n = 34) had shorter OS than those without TP53 mutations (n = 134) (median 14.8 months, [95% CI: 9.3坼40.3 months] vs. NR [95% CI 44.0 months坼NR], HR: 3.1, 95% CI 2.0坼4.9, P < 0.001].",_,_,_,_,_
